ID,Title,Author,Year,Format,File

1,UU Nomor 43 Tahun 2007,Pemerintah Pusat Indonesia,2007,pdf,ebook/UU Nomor 43 Tahun 2007.pdf
2,FILSAFAT ISLAM Dari Klasik Hingga Kontemporer,A. Khudori Soleh,2016,pdf,ebook/FILSAFAT ISLAM Dari Klasik Hingga Kontemporer.pdf
3,EPISTEMOLOGI ISLAM,A. Khudori Soleh,2017,pdf,ebook/EPISTEMOLOGI ISLAM.pdf
4,FILSAFAT ILMU Panduan untuk Pemula,Dani Ramdani,2022,pdf,ebook/FILSAFAT ILMU Panduan untuk Pemula.pdf
5,Filsafat dan Metafisika Dalam Islam,Muhammad Sholikhin,2008,pdf,ebook/Filsafat dan Metafisika Dalam Islam.pdf
6,Logika Ilmu Mantiq,Basiq Djalil,2009,pdf,ebook/Logika Ilmu Mantiq.pdf
7,Psikologi Belajar Pengantar Kajian,Maemonah,2017,pdf,ebook/Psikologi Belajar Pengantar Kajian.pdf
8,Sehat Mental di Era Digital,Kristi Poerwandari,2025,pdf,ebook/Sehat Mental di Era Digital.pdf
9,Jiwa Perspektif Ibnu Sina,Jim-Zam,2025,pdf,ebook/Jiwa Perspektif Ibnu Sina.pdf
10,Filsafat Sains Islam,Salamuddin,2020,pdf,ebook/Filsafat Sains Islam.pdf
11,RANGKUMAN MATERI VR,Prasetyo,2025,pdf,ebook/RANGKUMAN MATERI VR.pdf
